Title,energy,fat,protein,salt,saturates,sugars,remarks
Lemon Butter for Steak,265.4093538,44.01409566,0.836236934,1.86925879,27.28721888,1.128444726,1
Barbeque Brisket Rub,399.9049731,4.172569221,14.41725692,4.338377334,0.869929169,3.94075982,1
Cilantro-Mustard Mayo (Dip or Sauce),298.1326465,34.25784181,4.099204563,1.854832658,4.920876482,0.672069638,1
Tomato-Olive Bread,344.1092601,5.038187092,5.260997645,0.818352317,0.714680321,2.380395163,1
Creamy Country Dijon Sauce,215.257985,10.48148148,3.185185185,1.564814815,4.62962963,2.074074074,1
Chocolate Almond Sauce,122.2222222,40.04640882,14.53304072,3.300385036,7.539518292,8.00017305,1
Pitas,469.7359417,2.093680122,4.939390373,0.689949394,0.297281393,17.87219018,0
Bacon and Cheese Party Bread,245.4984112,28.06851321,12.50418193,1.772061165,7.40853307,0.306531199,1
Swedish Butter Cookies,396.0772696,25.8759879,3.843023367,0.448915213,15.94452939,32.55993752,0
Cherry Tomato Corn Salad,476.8056388,4.834689354,9.081702252,5.570480068,1.232534134,4.250301451,1
Two-Tone Chocolate Pudding Cups,165.0487802,4.119293866,3.388908702,0.076691037,2.524857347,11.40213386,0
Irish Soda Bread,97.91072278,3.810182623,7.130286979,1.321092576,2.11341608,2.01201676,1
Nutritious Ice Cream Sandwich,246.3356787,56.08540349,5.948230918,0.053209852,38.05687695,19.93532387,0
Cheddar Cheese Coins,614.4936522,72.11266135,3.050252726,0.206827771,44.69268766,0.134090814,1
Magic Bullet Chicken and Rice Baby Food,661.8801955,1.374257757,11.95952162,0.054387597,0.304491093,0.026762566,1
Gingerbread Flavored Whipped Cream,124.7804633,29.18783009,2.29862588,0.058226443,18.63032905,13.8099693,0
Frozen Banana Smoothie,326.6230422,0.195175792,0.649810311,0.012954727,0.07361996,30.505455,1
Creamy Curry Salad Dressing,155.5671981,34.39146371,5.658167276,2.175426997,5.410077808,2.228824564,0
Peanut Brittle,343.6595908,21.65772327,0.009855993,0.080807165,3.561873734,17.78698735,0
Pineapple Ginger Smoothie,259.3152823,0.517284145,1.107515728,0.068155681,0.037725213,6.019572914,1
Corn Cake Casserole,46.80136199,3.948146069,8.371461149,0.13980832,1.110186087,1.657813347,0
White Chocolate Bark,321.0910278,25.43397228,7.45876159,0.002446425,13.49359528,49.86421081,0
Salted Caramel Bark,453.3800052,62.60423073,1.625812002,0.187246884,14.19344152,29.54279119,0
Four Hour Baguettes,668.8277218,0.554909936,5.626896507,1.132416554,0.086577571,0.142681903,1
Oatmeal Lace Cookies,192.6205694,22.65946274,4.951687277,0.596399853,13.6052008,37.77270785,0
Hearty Cheese (And Turkey) Soup,447.341333,4.475158739,3.744044101,1.645021221,2.168671769,3.007644051,1
Horseradish Butter (Pepperrotsmor),113.1823952,51.37020357,0.737958617,19.63298613,31.9276225,1.375733732,1
Lemon Charge,459.9068329,0.682186756,2.404019164,0.065318465,0.366848526,5.182784172,1
Baked Brown Rice,38.79843941,1.434291098,0.764837494,0.691827602,0.865756006,0.015308526,0
Anzac Biscuits I,48.22185586,32.06478812,5.003475376,0.398939492,24.84035188,26.55124699,0
ABC Snack Mix,504.523913,9.345496554,3.19483727,0.009162252,1.126956937,8.858104609,1
Lemon Sauce,172.0312313,46.38018516,0.865801366,2.591885207,7.416060841,1.294021105,1
Chocolate Krispy Bars Recipe,431.7564522,13.7017021,12.46567013,0.100081164,8.230196042,20.11219521,0
Caramel-Fudge Sauce,290.2637642,26.59576174,4.146542076,0.116752064,19.91790116,36.35433879,0
Pita Bread,436.506247,3.933931574,5.284688281,1.103353711,0.551932234,2.315773758,1
Low Fat Peanut Butter Chocolate Crunch Bars,212.9072308,18.83017108,3.572523463,0.030874254,10.64189237,35.28648943,0
Dijon Potato Leek Soup,330.9040973,69.29359762,0.752890804,0.114298482,17.30283295,0.519617285,1
Crock Pot Caramelized Onions,628.9309048,53.7890571,0.459509584,0.145329143,10.13187622,1.409587626,1
Cheesy POPcorn,491.7528687,27.71639855,10.70134497,0.884419455,12.65792606,1.868582637,1
Amaretto Cranberry Juice Recipe,323.7925357,0.13,0.39,0.005,0.01,12.1,0
White Chocolate Cherry Toffee Popcorn,46,3.736919524,0.465090773,0.120217804,1.969064915,87.47093586,0
Mango Cheese,369.4468458,0.002686334,0.007465915,0.000497146,0.000554711,95.87564018,0
Chicken Noodle Salad,366.3880322,6.577489528,7.442102419,0.443048237,1.04195379,5.989731117,1
Focaccia Buns,139.0352655,80.05192369,1.330594018,0.308899693,11.05763133,0.032237607,1
Chocolate Covered Coconut Martini,747.7143008,20.528,1.986,0.2855,18.5888,2.874,1
Broccoli Cheese Soup,247,24.17673589,4.019448785,2.225202003,14.68350716,2.64544693,1
Easy Pizza Dough for Bread Machine,291.8692375,2.321563694,5.706154705,22.43703535,0.328272199,1.104243124,1
The Best Teriyaki Recipe Ever!,188.5097045,0.052012327,4.523353993,6.008053891,0.006094837,21.55097552,0
Spicy Pepitas,105.7889491,0.585211546,1.387900356,4.679715302,0.122182681,2.704626335,0
Low Carb Seafood Cocktail Sauce,34.7963622,0.318750493,0.780810576,1.72116067,0.042224091,8.94176939,0
Strawberry-Infused Vodka,56.46962967,0.147333745,0.329045364,0.001227781,0.007366687,2.401540042,0
Homemade Ice Magic,132.8695602,86.98826546,0.45889027,0.01495959,15.12229562,0.610817532,1
Baked Cheesecake,770.8423998,17.22226508,25.96878497,2.378671126,10.36449187,20.5230202,1
Basic Brine for Smoking Meat,368.6014578,0,0,6.620545868,0,3.309325246,1
My Easy Chicken Ala King,12.50947688,24.07766117,4.519416361,2.518643935,14.6023465,2.002126678,0
Oatmeal Fiber One Berry Breakfast Bars,242.3163699,28.75751156,1.161608536,0.059325579,17.75643979,48.90734621,0
Coconut Almond Goji Berry Granola,458.7645797,46.24986403,19.81359963,0.091528731,4.716220214,5.403156712,1
Jam Bars,560.618036,71.40826814,0.822360532,0.947110718,13.43664135,3.888654143,1
Pecan Pralines,669.4341346,24.98968686,2.537033565,0.060941309,7.789799362,53.90305644,0
Rib Dry Rub,435.9647478,4.347826087,6,38.61243207,0.643682065,12.00407609,0
Chinese Pot Roast Recipe,164.1304348,11.02032224,15.60215759,0.204742837,4.590990052,0.574501599,1
Orange Grove,169.5301118,1.135,2.5075,0.0178125,0.65875,4.035,0
Caramel Date Bars With Cranberries And Walnuts Recipe,194.375,16.95687871,6.814603203,0.137551737,8.807551287,25.69259493,0
Buttermilk Chocolate Biscuits,398.900036,10.85246879,4.501850806,1.407514587,6.605041094,26.65772633,0
"Roasted Mushrooms Stuffed with Feta, Spinach, and Bacon",314.7939018,5.872316278,6.136981204,0.724429347,2.187668455,1.783820133,1
Dahi Barfi (Sweet Yogurt Bars),86.241997,18.96169768,9.755466269,0.379972649,3.661022915,6.137392199,0
Baked Marinated Salmon,388.7886482,5.401518591,18.24368434,1.038872332,0.84274491,2.451968595,1
Real Crazy Cake,147.6726944,9.851930469,3.101543228,0.838463083,1.502461132,27.87373071,0
Chocolate Chip Ice Cream,288.4860306,16.1836871,4.117895309,0.004293641,10.11553197,67.27133609,0
Honey Mustard,417.3969526,42.2658124,1.192084333,1.307757859,6.560850903,18.24169928,0
Yin-Yang Soup,455.6242899,0.744863789,0.951669834,0.282944158,0.108320512,0.903701692,1
Low Fat Spicy Crab Dip,49.88385073,11.31011759,17.12517895,2.283093922,6.753610108,3.651404955,0
Walnut Shortbread Cookies,204.6675483,32.56084594,7.135515123,0.510692344,5.939744802,42.70675803,0
Godiva Chocolate Berry Diva,512.5827032,0.27,0.761666667,45.61875,0.108666667,1.603333333,1
Coffee Cake,15.66666667,12.9575102,4.54400833,0.328580106,5.61643479,24.87490238,0
Microwave Glazed Walnuts,323.1423365,1.466799954,0.342573724,0.002787497,0.13777923,65.78665077,0
Red Wine Vinaigrette,265.6964897,54.14130503,0.100663786,0.733582775,7.479084476,3.195618594,1
Five-Spice Tofu Stir-Fry with Carrots and Celery,496.9837393,14.4379478,2.787537951,0.472807611,2.96102862,2.280241885,1
Homemade ricotta cheese,155.5084212,4.602773175,3.167349786,0.607831168,2.949158455,4.731839191,0
Fiesta Chicken Casserole,71.94558298,6.728526812,6.266940236,0.618418325,3.293900732,3.22519552,0
Beef Fondue Recipe,141.0340427,100,0,0.005,13.808,0,1
Greatest Granola,884,48.4857882,3.756246366,0.021983416,29.29311783,15.44367105,0
Creamy French Dressing,580.1557273,6.709955709,0.219432655,2.178893026,0.935286159,0.424178645,1
Decadent Vegan Dark- Choco Brownies,81.59965153,49.5479327,6.25079561,1.241907278,11.94955028,17.9024823,0
Mediterranean Spice Mix,543.4162054,5.716783217,3.977272727,61.05550699,1.012237762,0.472027972,1
Simmered Chestnuts (for Beginners),118.006993,2.711232017,3.473982712,2.079390143,0.510349556,27.68091614,0
Luscious Luau,363.2080129,24.46939946,1.565617893,0.082476289,16.13539709,6.758877986,0
Quatre Epices (Four Spices) Gascon,266.8834541,16.27962085,7.345971564,0.213270142,9.774881517,1.990521327,1
Red Robin Chillin' Mango Smoothie,355.450237,0.091757027,0.256919674,0.013983154,0.015393947,13.67109579,0
West African Chicken-Peanut Soup,64.48173054,1.601591129,2.404688877,3.535818623,0.336740953,3.977094732,0
Cheese Cookie Snacks,56.3816379,68.47398074,2.183316169,2.560050282,42.47504089,0.106621433,0
Fresh Corn Tortillas,628.1577513,0.602649007,1.642384106,0.023178808,0.092715232,1.642384106,1
Cream of Fresh Cauliflower Soup,43.70860927,2.138987289,2.653949645,6.092505685,0.85725287,4.552125896,0
Vanilla Butter Frosting,67.2920989,73.71084769,0.801955949,0.033435657,45.87121805,7.956291027,0
Roasted Sweet Potatoes With Cinnamon Pecan Crunch,684.5073473,2.005084083,2.28329361,0.92127735,0.638651026,59.96364781,0
Special Spuds,321.9752659,3.575032078,2.53589486,0.622674641,0.507673839,0.109922961,1
Gooey Peanut Butter Chew,87.39047204,1.939689833,1.107122343,0.029473004,0.389962665,80.42978173,0
Cinnamon Raisin Biscuits,322.5732338,2.795275988,2.925999233,0.221406499,0.725444159,7.097378466,0
Pumpkin Spice Ganache,303.6744559,29.72085583,5.315230986,0.022923591,18.74105651,35.65648825,0
Semolina Pudding (Parsi Ravo),420.3061516,10.52670167,4.794758343,0.131028492,5.379724358,13.27303141,0
Honey Oatmeal Bread (Abm),182.6372274,3.759359037,7.671709575,0.786401489,1.570864444,3.379262798,0
Banana Smoothie,241.7313997,0.333797925,1.100542278,0.003671038,0.113573703,12.1723941,0
Jorgydee's Burgers,88.40804887,7.23877648,19.75904247,2.014439605,2.930944282,0.025682623,1
Bacon Crunch Bars,152.2259814,43.44130266,18.90436826,0.193963281,8.673715388,12.96845713,0
Dark Raspberry Truffles,524.1593916,23.43293535,10.74459331,0.044615623,4.011350524,1.381034844,1
Sweet-and-Sour Dressing,385.6128004,47.60479947,0.125621925,1.310543171,6.572202828,22.23246928,0
Date Squares,510.770866,27.49479364,4.44386596,3.317517039,17.48248769,18.29728323,0
Easy Bake Oven Angel Cookies,412.3201439,2.374946633,9.534682315,2.996833431,1.058214614,1.462999136,1
Fruity Rice Krispie Treats / Squares - Kids No Bake,352.2506258,24.60453039,5.495966851,0.008660221,6.781519337,27.8020442,0
Ethiopian Spicy Cheese Dip,406.320442,25.03544619,32.46868767,3.000825636,15.73488799,0.855160033,1
Homemade Brown Sugar,391.2757848,0.009543592,0,0.008771684,0.001712233,97.39319598,0
Crock Pot Candy,372.3404255,64.43,6.923333333,0.000555556,12.78688889,18.74333333,0
Potato English Muffins,677.2222222,1.265129025,3.193841821,1.49525196,0.798070336,3.401461521,1
Lite Cinnamon Apple Snack,61.44858035,23.51631622,11.05288405,0.033042839,1.856757029,2.734374243,0
Chocolate Brittle,410.9386599,45.59603878,9.096458138,0.007341716,14.96157022,30.58657537,0
Sugar & Spice Nuts,565.3646049,58.95229024,12.45778855,0.006494069,8.766343406,12.31058966,0
Vineyard Fizz (non-alcoholic),626.980691,0.029822435,0.095325285,50.99703023,0.007881644,11.22802047,0
Vegan Shortbread,44.58776932,8.374083955,1.249704502,0.065319194,1.57258001,75.50718764,0
Tequila Sunrise,402.3223352,0.025,0.085,0.06475,0.0024,40.4075,0
Cheesy Potato Loaf (Bread Machine),237.8,14.40403261,11.64005074,0.811663503,8.141083682,2.116505244,1
Sunflower Seed Mix. Back to School,208.8227608,25.11525974,8.751623377,0.03125,2.190746753,20.02435065,0
Summer Strawberry Shortcake,440.2597403,32.82353355,1.550587284,0.985502532,20.61075749,26.70848572,0
No-Knead Swedish Cardamom Braid,405.01477,47.29229173,2.173043975,0.157173768,3.506205709,0.455031732,0
Garlic Squares,501.5685202,9.941374052,7.812989838,1.013771446,5.92290336,2.500677109,1
Pear 'N Cranberry Pie,249.9098965,5.73520924,1.924864184,0.042870314,2.337809801,33.49089556,1
Sausage and Rice Bake,253.8600358,10.13025322,3.196903771,2.174726867,1.179480224,2.788862323,0
Cajun Butter Sauce,123.6336393,14.58201987,15.88418246,52.55971727,4.127413148,15.84068873,1
Creamy Vegan Hot Cocoa,264.6745511,0.469263611,0.947406204,0.022480825,0.284561907,12.24241508,0
Roasted Shrimp and Vegetables,56.90104659,51.79395874,7.376647975,0.470636966,12.57293024,1.517845582,0
Almond Bark Rice Krispies Recipe,494.7045535,54.75589482,10.94704016,0.008234287,7.34759471,3.173962128,1
"Vegetarian ""chicken"" Fried Steak",579.0135723,8.939145192,5.58304821,0.158837782,3.010627843,3.25977341,1
Chipped Beef Bake,225.4353559,13.69208369,19.11152985,2.135191427,6.168346128,1.681382478,1
Blackberry Kamikaze Recipe,267.1098804,0.245,0.695,0.0025,0.007,2.44,0
Crunchy Granola,137,12.10236887,14.34433164,0.320828046,1.378278342,11.84856176,0
Apricot Strudel,388.7478849,33.77521177,9.389552783,0.512053576,22.11314306,17.7682833,0
Apricot Mustard,468.7946262,3.012371134,3.745360825,2.384793814,0.192783505,8.027835052,0
Scrumptious Chocolate Peanut Butter Cottage Cheese,84.22680412,4.391414664,11.11155481,0.904073943,1.734995711,2.864544818,1
Buttered Potatoes,100.0154472,4.874270112,2.468363458,0.02560167,2.999206194,0.004149446,1
Best Ever Hot Cocoa Mix,96.90686982,5.88494133,4.188163531,5.106165021,3.650819519,36.16758242,0
Del Rancho Garlic Dressing,208.7213634,72.68164664,1.034460648,1.548851312,11.36422761,0.636725048,1
Peanut Butter Pots de Creme,663.9857834,22.51205632,11.22759489,0.464039395,14.2479657,19.82480735,0
Chicken Shepherd's Pie,357.9159032,21.67368198,6.165574646,0.284843492,5.430704274,0.075775326,1
Deli Coleslaw,242.6057104,10.00957224,0.969189351,0.979658989,1.573437033,4.942267424,0
Roasted Beet Relish with Apricots,123.1229435,5.517537942,1.741996192,0.129228039,0.752386017,22.36400661,0
Eggless Crepe for Egg Allergies,151.1898758,22.22885901,1.172847351,0.730074812,13.78012183,1.525048929,1
Italian Herb Rolls,209.6264477,1.616406006,6.605020506,0.639537232,0.248065547,1.290944009,1
Freezer Sweet Corn,184.2249242,0.905697935,2.46827569,0.753607863,0.139338144,2.989549639,1
Hot Chicken Salad,67.678527,34.91310847,15.53488985,2.443496055,4.313550985,2.791236082,0
"""Bread Machine Cookbook"" Semolina Bread Recipe",411.029627,2.899247883,8.164558834,0.808673495,0.406172681,0.706477274,1
Baked Potato Dip,249.9137481,34.94833333,10.545,1.445,12.38983333,1.391666667,1
Perfectly Chocolate Hershey's Hot Cocoa,365.5,1.065144972,2.954102406,0.295743368,0.671560765,13.44540407,0
Egg Nog Truffles,114.4231956,6.892332628,3.099659136,0.169503763,4.363268406,80.54820087,0
Ice Cream and Candy Shakes,402.0276751,28.48157895,5.513397129,0.222348485,17.25482456,52.67870813,0
Strawberry Jam,479.2503987,0.160747164,0.354558787,0.002489549,0.008688164,48.46321068,0
Bon Appetit Cranberry Margaritas,194.9572904,0.124183718,0.515237266,0.044432956,0.007368306,11.89203309,0
Advent Cookies,87.46190684,18.21183482,4.451459247,0.043565874,11.1526019,33.73764094,0
Classic Caramel Milkshake,417.8357646,9.900295326,3.520544427,0.18944209,6.115594504,19.96257062,0
Mozzarella Marinated With Basil and Sundried Tomatoes,190.3441192,35.13655814,13.25313972,0.137301268,6.885217712,17.07699896,0
TSR Version of Burger King Zesty Onion Ring Sauce by Todd Wilbur,448.7942033,70.94077867,1.014649204,1.518360574,11.09619228,2.578242095,0
Boiled Peanuts,654.8069374,5.499956834,0,2.544987433,0.790178798,0,1
Asian Green Bean Salad Recipe,48.61961841,9.715960405,1.557982343,0.421823449,1.385445821,7.736790942,0
Basil Cheese Torte,132.9405649,43.82521882,23.70317905,2.249896253,27.21136209,0.568434796,1
Vienna Sugar Cookies,494.7955434,5.313101574,0.92288529,0.009766731,3.26157853,5.717359302,1
Chocolate Peanut Clusters,94.80806251,30.5452661,6.314722185,0.000112658,16.66182236,50.46798252,0
Godiva Truffletini,488.9369564,13.8684,3.4684,0.0012,8.6684,27.7316,0
Low Carb Cessesburger Soup,353.72,16.26630751,11.74105176,9.625828353,6.902475256,3.705374694,1
Cheese Buttons,211.1856983,36.25179156,14.11204769,0.8817224,21.52423003,0.33377364,1
Black and Blue,469.4680542,0.393698207,1.025282082,0.001837633,0.020614261,7.653354558,1
Passover Apples and Honey (Charoset),49.68397397,7.063353602,2.072810628,0.003232327,0.687816528,12.78784645,0
Bone Dust BBQ Rub,132.4915169,13.35355364,13.35445903,5.598008148,2.217926664,8.843820733,0
Godiva Cranberry Martini,276.0525124,2.016428571,0.810714286,0.004464286,1.199285714,14.18071429,0
Cinnamon Oatmeal Milk Bath,89.28571429,5.378222115,13.37308279,0.026298884,1.039869911,1.021440617,1
Shrimp Cocktail,320.4850237,0.51,20.1,0.2975,0.101,0,1
Mexican Hot Chocolate - 4 Ww Points,85,4.476077263,6.658141049,0.07918869,2.742816592,46.00984102,0
Simple Potato Bread,249.4710208,2.598996027,8.024623694,1.633686097,1.289832074,0.191739786,1
Bubble Ball Bonbons,191.8202477,28.21088341,5.338895043,0.004552063,19.65291471,39.77381612,0
Fresh Cherry Smoothie,443.7551925,0.034876435,0.956195237,0.014842174,0.009343105,69.02230704,0
Spicy Raspberry Balsamic Dressing,259.3939796,60.80489175,0.37935983,1.489439696,8.425999875,5.01403881,1
"Shortbread Cookies ""Hugs & Kisses"" Recipe",569.6636925,30.31290743,3.154063451,0.017383746,18.73707084,21.95132551,0
Naan Bread,501.303781,18.11745514,4.740619902,0.954730832,2.508972268,0.794453507,1
Parmesan Polenta,310.6035889,2.008056488,5.706182506,0.784458982,0.795191314,3.561306955,1
Cheddar and Black Pepper Biscuits,206.2093906,19.63811254,8.066696509,0.527142309,12.09519224,2.450803292,1
Maple-Glazed Sweet Potatoes,226.8298168,4.322716509,1.393709391,0.12293958,1.415162212,8.261573278,0
Ruth Feeney's Blackberry Jelly,133.8807737,0.613290765,0.737764433,0.009796967,0.225370914,33.01355707,0
Peachy Cake,146.9163928,64.68533805,1.470453755,0,11.20113647,2.07281517,0
Marmalade-Glazed Spareribs,589.1625036,4.303998627,16.7088978,1.26004415,1.530397103,6.077212279,0
Pepperoncini Pork Roast,137.0479166,1.928654261,14.34091257,3.977739295,0.639044675,0.519912935,1
Awesome Healing Chicken Broth,97.35777553,2.947650852,11.36518885,0.546464763,0.814224781,4.52620912,0
Macedonian Sausages Filling,94.47627821,4.781064397,13.32771977,0.089402941,1.280883965,3.683027664,0
My Gingernut Biscuits/Cookies,239.3041989,12.21221729,4.9355316,12.77985627,2.312576622,10.7324033,0
Roasted Strawberries with Black Pepper,326.3369267,0.299401198,0.724404849,0.005841975,0.027457281,10.5506061,0
Whipped Carrots With Cranberries,56.37505477,2.210821974,0.376781468,3.063779965,0.894117012,57.23297307,0
Besan Barfee Recipe,259.8852947,29.41582623,4.938603543,0.013911781,3.971872833,51.44928328,0
How-to Roast Almonds Recipe elanaspantry,522.5540648,49.27816098,20.87388553,1.267176061,3.752364671,4.2932105,0
Chocolate Cherry Granola Bites,571.4411217,8.129325195,2.799489697,0.028335868,4.934519524,43.75273712,0
Almond Crescents # 2,258.55033,9.606005879,2.220178992,0.003070939,4.239569776,78.14365412,0
Nana's Butter Biscuits,418.1996988,17.50369055,5.864914379,1.456183665,10.69355724,2.064893182,1
Spiced Pumpkin Butter Spread,329.1481824,0.140022872,0.78842164,0.194960401,0.077053829,28.39959083,0
Easy Hand Kneaded Bagel,125.0620751,1.006071393,7.1750468,0.110982489,0.147099832,6.946572845,0
Sriracha Barbeque Sauce,234.1128608,0.12636107,1.612671954,4.007091007,0.010216427,26.03934221,0
Taco Seasoning,119.8189721,9.481481481,11.05555556,24.49074074,1.292592593,4.148148148,0
Buttermilk Biscuits,250,12.9193754,5.726069717,1.620355452,1.996756522,2.269418836,1
Old Fashioned Shortbread Cookies - Shortbread,278.3856867,45.11790841,4.271189337,0.017515379,20.78605605,10.85355434,0
Dianes Butternut Squash Soup,566.9002051,13.88491286,11.45759547,12.88087171,4.378241974,5.707874078,0
High-Protein Milk,266.0785585,0.971311475,3.368852459,0.109631148,0.633196721,5.200819672,0
No Bake Granola Balls,41.80327869,25.81031065,6.324225386,0.029224982,13.39203948,39.41469137,0
Applesauce Cake (Ob'l Dunkes Kucka) Recipe,456.2838767,10.38492641,3.405035312,0.52893687,6.295757184,17.62574802,0
Shrimp Stir-Fry,308.2645965,40.83880492,6.43195113,4.867661351,10.04167601,1.401638601,1
"Fruit, Fiber & Nuts",429.8748306,1.744794961,3.146803613,0.091009133,0.541007868,6.640820663,0
Beef Flavored Rice,147.1957297,2.007622009,0.944881139,0.010064105,1.189171786,0.013736788,1
Grilled Asian Spiced Pork Ribs,49.69092227,5.460474774,18.80909107,2.554028904,1.765871276,0.303918291,0
Peanut Butter Chocolate Chip Cookie Dough Dip,132.5147721,10.390668,5.079622592,0.377307998,4.843534633,76.44015765,0
Thyme-Roasted Carrots,404.5960556,4.189730277,0.921016423,0.16586887,1.46549777,4.529991728,1
Fudge Quickies,74.50222156,24.57794321,6.374786429,0.025323407,15.30929135,35.9675779,0
Best Buttercream Frosting Recipe,445.9157107,81.94388632,0.422333164,0.026206635,34.92840692,8.309197712,1
Brown Rice Crispy Bar,757.5894502,10.62898476,5.670887531,0.080867742,0.861878244,32.76566053,0
Marinade for Grilled Vegetables,306.6154493,46.69932553,0.428635843,0.676841641,6.457164597,5.563811599,1
Brie Raclette,448.0808612,4.699084436,4.640755178,1.718060827,2.61087732,2.309014317,1
Honey Glazed Pecans,85.52038328,1.616583166,0.500646211,0.010098657,0.138889032,80.3631912,0
Bacon Pecorino Popcorn,312.8124855,24.55055005,14.46582425,3.069040085,5.937415796,0.62925539,1
Pineapple Pop 'em Balls,288.8225469,74.07341778,7.675246528,0.012132349,51.05049413,0.54367378,1
Potsticker Dipping Sauce,714.0379241,0.367005951,10.30470669,13.67230304,0.047704515,2.305438787,1
White Chocolate Macadamia Nut Bark,64.67031929,34.558753,6.869304556,0.002098321,15.9294964,45.49520384,0
Incredible Butter Substitute,507.3141487,58.82217754,1.210858949,0.167336972,9.771760988,1.686297041,1
Red Wine Vinaigrette,533.4673944,42.79121568,0.101801742,1.358690272,5.912899287,0.004784847,1
Peanut Butter & Jelly Filled Spiders,389.6020327,5.753220701,11.64997393,0.018061083,1.08063585,5.784650636,0
Apricot Dipping Sauce,368.233009,0.543050431,4.386838868,2.524292743,0.061131611,34.97109471,0
Southern Fried Tofu,175.7687577,1.616273533,6.934171832,0.155113765,0.536749264,3.258657371,0
Cinnamon Butter,153.9181553,40.47048853,0.432338027,0.016215145,25.19109558,48.83498917,0
Almost No-Knead Bread 2.0,552.3088478,1.010540876,7.931749824,1.130493253,0.146265866,4.58889942,1
Strawberry Preserves with Black Pepper and Balsamic Vinegar,219.7120605,0.141206675,0.359435173,0.006240194,0.011125374,46.17315647,0
Honey Graham Snack Mix,185.1376409,0.513708514,1.871861472,0.044155844,0.143665224,24.13939394,0
Sesame Honey Dressing For Spinach Salads Recipe,267.8499278,53.81031479,0.628367702,5.406251266,7.432726978,21.30028765,0
Mike's Special Seasoning,559.3931046,3.645528455,9.58699187,4.865447154,0.750569106,26.9495935,0
Forbidden Rice,318.0487805,0.052757794,0.509592326,9.763788969,0.014628297,0.009592326,1
Vegan Cinnamon Crumb Cake,24.58033573,14.13149725,3.964741884,0.82551298,2.606429247,21.13470522,0
Margie's Shortbread Oatmeal Cookies,316.8810242,22.45400038,9.677186593,0.266806398,12.43097909,14.44980844,0
Brown Sugar Shortbread Cookies,457.2645902,25.88686283,4.723718746,0.033499102,15.9122807,24.33209007,0
Mustard and Brown Sugar-Rubbed Salmon,475.4109684,6.885029084,17.58476518,1.424184297,0.971837934,2.319036111,1
Sport and Misty's Horse Cookies,150.2144369,0.550720982,0.943512563,0.335827693,0.082229789,0.357968638,1
Vegan Mexican Wedding Cookies,44.47807626,48.5866809,5.666622181,0.002001868,26.79781129,8.013479247,0
Bacon & Brussel sprouts,601.0943547,10.04,6.15,1.2625,1.582,1.466666667,1
Caramel Butter Sauce,131.6666667,33.17733999,0.676281562,1.471831145,20.6472304,4.407490179,0
Muesli,313.762302,6.256786925,6.793401869,0.029042527,0.71249621,15.05264173,0
Ganzies Biscuits,254.4304495,25.98549769,5.257498352,1.601845748,6.552282465,1.563117996,1
Sesame Seed Powder,386.5359262,46.74509804,16.68627451,5.724673203,6.547712418,0.281045752,1
